Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.217,54.230.235.173,32966,443,TCP,14.36179304122925,20,21521,469.8757787969071,1980,20201,1.665343846454586,7.166316509246826
172.29.34.1,172.29.34.205,53,50378,DNS,0.0429825782775878,2,282,26.0,167,0,0.0,0.0429825782775878
146.75.121.91,172.29.34.205,443,43910,TCP,10.3191409111023,12,820,4.149966532662911,78,0,2.210262846037452,7.591967105865479
146.75.121.91,172.29.34.205,443,43910,TCP,3.885237216949463,13,15317,513.9819143549934,1995,14459,0.5934478270227904,2.028671741485596
172.29.34.216,18.238.243.33,44770,443,TCP,2.423170328140259,4,264,0.0,66,0,1.141409651865374,2.421920299530029
172.29.34.216,18.238.243.33,44790,443,TCP,2.411022901535034,4,264,0.0,66,0,1.135834997036705,2.409987449645996
172.29.34.216,18.238.243.33,44786,443,TCP,2.40790581703186,4,264,0.0,66,0,1.134404355485368,2.406925201416016
172.29.34.216,18.238.243.33,44800,443,TCP,2.404019117355347,4,264,0.0,66,0,1.132468828207162,2.402892351150513
172.29.34.217,54.230.235.173,32980,443,TCP,10.7194652557373,11,754,4.271760045262083,78,0,2.289577028772902,7.596152544021606
172.29.34.216,18.238.243.33,44806,443,TCP,2.400928020477295,4,264,0.0,66,0,1.130996499049719,2.399779796600342
172.29.34.255,172.29.34.3,137,137,UDP,160.8611707687378,28,2576,0.0,92,0,14.4965328675095,63.57345867156982
172.29.34.217,54.239.195.97,52288,443,TCP,0.0005891323089599,2,1202,0.0,601,1070,0.0,0.0005891323089599
172.29.34.217,54.239.195.102,50586,443,TCP,117.186003446579,83,5614,4.025755375509803,78,0,3.480407898048071,10.48252511024475
172.29.34.217,54.239.195.102,50586,443,TCP,117.1634435653686,69,278509,3372.693861473023,12378,273955,13.92112138705056,115.6707525253296
172.29.34.216,54.239.195.19,42202,443,TCP,2.441722631454468,4,264,0.0,66,0,1.150267874076378,2.440631866455078
142.251.39.246,172.29.34.220,443,48200,UDP,0.0746631622314453,86,157050,2003.336384927306,8806,153438,0.003747897604432,0.0266854763031005
172.29.34.216,95.101.171.138,41178,443,TCP,0.0002322196960449,2,132,0.0,66,0,0.0,0.0002322196960449
172.29.34.216,95.101.171.138,39754,443,TCP,115.6764757633209,35,2314,2.785384595875186,74,0,4.741257693478922,10.23283982276916
172.29.34.216,95.101.171.138,39754,443,TCP,115.6672766208649,11,9989,942.1676606774648,2778,9263,34.6816304230402,115.6116163730621
172.29.34.216,95.101.171.167,44455,443,UDP,0.046295166015625,5,803,109.5236960661938,303,593,0.0138442729506216,0.034114122390747
172.29.34.217,54.239.195.102,50594,443,TCP,8.306713104248047,13,886,4.035346784185847,78,0,0.9900175911559568,3.454456329345703
172.29.34.216,54.38.164.88,50730,443,TCP,2.402200222015381,4,228,3.0,60,0,1.131724655328749,2.401233673095703
172.29.34.216,3.162.79.56,59010,443,TCP,8.29068374633789,13,886,4.035346784185847,78,0,0.9787305863955722,3.391643524169922
172.29.34.216,51.38.13.222,46948,443,TCP,10.90076732635498,11,668,5.801111321288661,74,0,2.287689250399553,7.599090814590454
172.29.34.216,51.38.13.222,46948,443,TCP,4.395592927932739,11,13083,517.1668049403708,1958,12489,0.6156107686701718,2.028660297393799
172.29.34.216,18.238.243.24,34592,443,TCP,10.81503963470459,11,754,4.271760045262083,78,0,2.285574658383859,7.593096733093262
172.29.34.216,18.238.243.24,34592,443,TCP,4.349364757537842,13,17037,361.8047955171014,1971,16179,0.5862011247960041,2.028636455535889
142.251.39.228,172.29.34.202,443,34664,TCP,10.04761600494385,8,544,3.464101615137754,74,0,3.386992319466,9.729790925979614
142.251.39.228,172.29.34.202,443,34680,TCP,0.2857377529144287,2,3399,265.5,1965,3267,0.0,0.2857377529144287
142.251.39.228,172.29.34.202,443,34682,TCP,0.2890126705169678,2,3399,265.5,1965,3267,0.0,0.2890126705169678
142.251.39.228,172.29.34.202,443,34692,TCP,10.07222104072571,8,544,3.464101615137754,74,0,3.392361159216481,9.746405839920044
172.29.34.216,18.238.243.24,34608,443,TCP,10.813809633255,11,754,4.271760045262083,78,0,2.286892101186571,7.601938962936401
172.29.34.216,18.238.243.24,34626,443,TCP,10.81366920471191,11,754,4.271760045262083,78,0,2.287371565879493,7.603874921798706
172.29.34.216,18.238.243.24,34626,443,TCP,4.366028070449829,13,17037,361.8047955171014,1971,16179,0.5864163121815231,2.028908491134644
172.29.34.216,18.238.243.24,34608,443,TCP,4.361483812332153,13,17037,361.8047955171014,1971,16179,0.5861797671742849,2.028372526168823
